bedrooms,beds,price,log_price,instant_bookable,bathrooms,wifi,hot tub,kitchen,tv,coffee,washer,dryer,backyard,pets allowed,workspace,pool,fire pit,bbq,ac,free parking,dishwasher,gym,self check-in,stove,view,patio,crib,total_amenities,rho,theta,downtown,long_stays_only,max_guests,bedroom_and_bath,baths_per_bedroom,max_guests_sq,bathrooms_sq,beds_sq,bedrooms_sq,bedroom_and_bath_sq,baths_per_bedroom_sq,listing_type_apt_max_guests,listing_type_guest_suite_max_guests,listing_type_house_max_guests,listing_type_private_room_max_guests,listing_type_apt,listing_type_guest_suite,listing_type_house,listing_type_private_room,listing_type_apt_bedrooms,listing_type_guest_suite_bedrooms,listing_type_house_bedrooms,listing_type_private_room_bedrooms,listing_type_apt_bathrooms,listing_type_guest_suite_bathrooms,listing_type_house_bathrooms,listing_type_private_room_bathrooms,listing_type_apt_ac,listing_type_guest_suite_ac,listing_type_house_ac,listing_type_private_room_ac,listing_type_apt_kitchen,listing_type_guest_suite_kitchen,listing_type_house_kitchen,listing_type_private_room_kitchen,listing_type_apt_pets allowed,listing_type_guest_suite_pets allowed,listing_type_house_pets allowed,listing_type_private_room_pets allowed,listing_type_apt_downtown,listing_type_guest_suite_downtown,listing_type_house_downtown,max_guests_sq,max_guests_cu,bathrooms_sq,bathrooms_cu,beds_sq,beds_cu,bedrooms_sq,bedrooms_cu,bedroom_and_bath_sq,bedroom_and_bath_cu,baths_per_bedroom_sq,baths_per_bedroom_cu,listing_type_private_room_downtown
1,2.0,268.0,2.428134794028789,0,1.0,1,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,12,120.07342173500055,2.7513536105963023,1,0,4,2.0,1.0,16,1.0,4.0,1,4.0,1.0,4,0,0,0,1,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,16,64,1.0,1.0,4.0,8.0,1,1,4.0,8.0,1.0,1.0,0
3,4.0,322.0,2.507855871695831,1,1.5,1,0,1,1,1,1,1,1,0,0,1,0,0,0,1,1,0,1,1,0,1,0,13,120.08030261084164,2.751332517322102,1,0,6,4.5,0.5,36,2.25,16.0,9,20.25,0.25,0,0,6,0,0,0,1,0,0,0,3,0,0.0,0.0,1.5,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,36,216,2.25,3.375,16.0,64.0,9,27,20.25,91.125,0.25,0.125,0
3,3.0,274.0,2.437750562820388,0,2.0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,9,120.0690205758684,2.7514031801346004,1,0,6,5.0,0.6666666666666666,36,4.0,9.0,9,25.0,0.4444444444444444,0,0,6,0,0,0,1,0,0,0,3,0,0.0,0.0,2.0,0.0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,36,216,4.0,8.0,9.0,27.0,9,27,25.0,125.0,0.4444444444444444,0.2962962962962963,0
3,3.0,800.0,2.9030899869919438,0,3.0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,1,10,120.06171116966154,2.751217412248994,1,0,8,6.0,1.0,64,9.0,9.0,9,36.0,1.0,0,0,0,8,0,0,0,1,0,0,0,3,0.0,0.0,0.0,3.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,64,512,9.0,27.0,9.0,27.0,9,27,36.0,216.0,1.0,1.0,1
1,1.0,86.0,1.9344984512435677,1,1.0,1,0,1,1,1,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1,0,14,120.10081112564437,2.7512824767981816,0,1,2,2.0,1.0,4,1.0,1.0,1,4.0,1.0,2,0,0,0,1,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,8,1.0,1.0,1.0,1.0,1,1,4.0,8.0,1.0,1.0,0
4,4.0,367.0,2.5646660642520893,1,3.0,1,1,1,1,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,10,120.05628579619894,2.7512532874367737,1,0,6,7.0,0.75,36,9.0,16.0,16,49.0,0.5625,0,0,6,0,0,0,1,0,0,0,4,0,0.0,0.0,3.0,0.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,36,216,9.0,27.0,16.0,64.0,16,64,49.0,343.0,0.5625,0.421875,0
2,2.0,454.0,2.6570558528571038,1,2.5,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,0,17,120.03535868340732,2.7512833052417434,0,0,4,4.5,1.25,16,6.25,4.0,4,20.25,1.5625,0,0,4,0,0,0,1,0,0,0,2,0,0.0,0.0,2.5,0.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,16,64,6.25,15.625,4.0,8.0,4,8,20.25,91.125,1.5625,1.953125,0
0,1.0,150.0,2.1760912590556813,0,1.0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,8,120.03931778307182,2.751384926407721,0,0,1,1.0,1.0,1,1.0,1.0,0,1.0,1.0,0,0,0,1,0,0,0,1,0,0,0,0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1.0,1.0,1.0,1.0,0,0,1.0,1.0,1.0,1.0,0
3,4.0,399.0,2.6009728956867484,1,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.05975365050139,2.7513259028471877,1,0,8,6.0,1.0,64,9.0,16.0,9,36.0,1.0,0,0,8,0,0,0,1,0,0,0,3,0,0.0,0.0,3.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,512,9.0,27.0,16.0,64.0,9,27,36.0,216.0,1.0,1.0,0
0,3.0,70.0,1.845098040014257,0,2.0,1,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,1,1,0,0,0,14,120.10147014517099,2.7514352668886053,0,1,2,2.0,1.0,4,4.0,9.0,0,4.0,1.0,0,0,0,2,0,0,0,1,0,0,0,0,0.0,0.0,0.0,2.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4,8,4.0,8.0,9.0,27.0,0,0,4.0,8.0,1.0,1.0,0
0,1.0,125.0,2.0969100130080562,0,1.0,1,1,1,0,1,1,0,1,0,0,0,0,1,1,1,1,0,0,0,1,1,1,13,120.10681521090301,2.7513027731992774,0,0,2,1.0,1.0,4,1.0,1.0,0,1.0,1.0,0,0,0,2,0,0,0,1,0,0,0,0,0.0,0.0,0.0,1.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4,8,1.0,1.0,1.0,1.0,0,0,1.0,1.0,1.0,1.0,0
1,1.0,215.0,2.3324384599156054,0,1.0,1,0,1,1,1,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,0,0,13,120.09440766521521,2.751330230108207,0,1,2,2.0,1.0,4,1.0,1.0,1,4.0,1.0,2,0,0,0,1,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,8,1.0,1.0,1.0,1.0,1,1,4.0,8.0,1.0,1.0,0
2,4.0,226.0,2.3541084391474008,0,2.0,1,0,1,1,1,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,0,0,13,120.08626885546073,2.751533124342672,0,0,7,4.0,1.0,49,4.0,16.0,4,16.0,1.0,7,0,0,0,1,0,0,0,2,0,0,0,2.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,49,343,4.0,8.0,16.0,64.0,4,8,16.0,64.0,1.0,1.0,0
1,1.0,203.0,2.307496037913213,0,1.0,1,0,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,11,120.07210719431261,2.7513916123830953,1,0,2,2.0,1.0,4,1.0,1.0,1,4.0,1.0,0,2,0,0,0,1,0,0,0,1,0,0,0.0,1.0,0.0,0.0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,4,8,1.0,1.0,1.0,1.0,1,1,4.0,8.0,1.0,1.0,0
1,2.0,137.0,2.1367205671564067,1,1.0,1,0,1,1,1,1,1,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,12,120.07465133869097,2.751348637507762,1,0,4,2.0,1.0,16,1.0,4.0,1,4.0,1.0,4,0,0,0,1,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,16,64,1.0,1.0,4.0,8.0,1,1,4.0,8.0,1.0,1.0,0
1,1.0,171.0,2.2329961103921536,1,1.0,1,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,10,120.06720073720051,2.751233502375042,1,0,2,2.0,1.0,4,1.0,1.0,1,4.0,1.0,0,2,0,0,0,1,0,0,0,1,0,0,0.0,1.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,4,8,1.0,1.0,1.0,1.0,1,1,4.0,8.0,1.0,1.0,0
